file,type,line,frame
> 63 |       expect(app.mountCalls).toBe(1);
     |                                  ^ Magic Number
  64 |
  65 |       const parcelConfig1 = createParcelConfig();
  66 |       const parcelConfig2 = createParcelConfig();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 90, 'column': 40, 'index': 2856}","  88 |         })
  89 |         .then(() => {
> 90 |           expect(app.unmountCalls).toBe(1);
     |                                        ^ Magic Number
  91 |           expect(parcelConfig1.unmountCalls).toBe(1);
  92 |           expect(parcelConfig2.unmountCalls).toBe(1);
  93 |           expect(parcelConfig3.unmountCalls).toBe(1);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 91, 'column': 50, 'index': 2910}","  89 |         .then(() => {
  90 |           expect(app.unmountCalls).toBe(1);
> 91 |           expect(parcelConfig1.unmountCalls).toBe(1);
     |                                                  ^ Magic Number
  92 |           expect(parcelConfig2.unmountCalls).toBe(1);
  93 |           expect(parcelConfig3.unmountCalls).toBe(1);
  94 |         });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 92, 'column': 50, 'index': 2964}","  90 |           expect(app.unmountCalls).toBe(1);
  91 |           expect(parcelConfig1.unmountCalls).toBe(1);
> 92 |           expect(parcelConfig2.unmountCalls).toBe(1);
     |                                                  ^ Magic Number
  93 |           expect(parcelConfig3.unmountCalls).toBe(1);
  94 |         });
  95 |     });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-mounts-parcel.spec.js,Magic Number,"{'line': 93, 'column': 50, 'index': 3018}","  91 |           expect(parcelConfig1.unmountCalls).toBe(1);
  92 |           expect(parcelConfig2.unmountCalls).toBe(1);
> 93 |           expect(parcelConfig3.unmountCalls).toBe(1);
     |                                                  ^ Magic Number
  94 |         });
  95 |     });
  96 |   });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-error-handlers.spec.js,Conditional Test Logic,"{'line': 299, 'column': 6, 'index': 9726}","  297 |     bootstrapCalls: 0,
  298 |     bootstrap() {
> 299 |       if (errLocation === ""bootstrap"") {
      |      ^ Conditional Test Logic
  300 |         return delayedSettle(Promise.reject(new Error(""bootstrap error"")));
  301 |       } else {
  302 |         parcelConfig.bootstrapCalls++;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-error-handlers.spec.js,Conditional Test Logic,"{'line': 309, 'column': 6, 'index': 10021}","  307 |     mountProps: null,
  308 |     mount(props) {
> 309 |       if (errLocation === ""mount"") {
      |      ^ Conditional Test Logic
  310 |         return delayedSettle(Promise.reject(new Error(""mount error"")));
  311 |       } else {
  312 |         parcelConfig.mountCalls++;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/parcel-error-handlers.spec.js,Conditional Test Logic,"{'line': 319, 'column': 6, 'index': 10322}","  317 |     unmountCalls: 0,
  318 |     unmount() {
> 319 |       if (errLocation === ""unmount"") {
      |      ^ Conditional Test Logic
  320 |         return delayedSettle(Promise.reject(new Error(""unmount error"")));
  321 |       } else {
  322 |         parcelConfig.unmountCalls++;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/parcels/mount-root-parcel.spec.js,Conditional Test Logic,"{'line': 152, 'column': 2, 'index': 5165}","  150 |   };
  151 |
> 152 |   if (opts.withUpdate) {
      |  ^ Conditional Test Logic
  153 |     parcelConfig.updateCalls = 0;
  154 |     parcelConfig.update = function (props) {
  155 |       parcelConfig.updateCalls++;"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/warning-timeouts/warning-timeouts.spec.js,Conditional Test Logic,"{'line': 86, 'column': 4, 'index': 2876}","  84 |     expect(consoleWarnSpy).toHaveBeenCalled();
  85 |     const found = consoleWarnSpy.mock.calls.some((call) => call[0] === message);
> 86 |     if (!found) {
     |    ^ Conditional Test Logic
  87 |       expect(consoleWarnSpy).toHaveBeenCalledWith(message);
  88 |     }
  89 |   }"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 36, 'column': 39, 'index': 920}","  34 |   it(""fires successful unmountAndUnload profiler events"", async () => {
  35 |     const profilesBefore = getProfilerEventsByKind(""unmountAndUnload"");
> 36 |     expect(profilesBefore.length).toBe(0);
     |                                       ^ Magic Number
  37 |
  38 |     singleSpa.registerApplication({
  39 |       name: ""unmountAndUnload profiler success"","
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 47, 'column': 49, 'index': 1228}","  45 |
  46 |     const profilesAfter = getProfilerEventsByKind(""unmountAndUnload"");
> 47 |     expect(profilesAfter.length).toBeGreaterThan(0);
     |                                                 ^ Magic Number
  48 |     expect(profilesAfter[0].operationSucceeded).toBe(true);
  49 |   });
  50 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 53, 'column': 39, 'index': 1474}","  51 |   it(""fires successful loadAndMount profiler events"", async () => {
  52 |     const profilesBefore = getProfilerEventsByKind(""loadAndMount"");
> 53 |     expect(profilesBefore.length).toBe(0);
     |                                       ^ Magic Number
  54 |
  55 |     singleSpa.registerApplication({
  56 |       name: ""loadAndMount profiler success"","
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 64, 'column': 49, 'index': 1774}","  62 |
  63 |     const profilesAfter = getProfilerEventsByKind(""loadAndMount"");
> 64 |     expect(profilesAfter.length).toBeGreaterThan(0);
     |                                                 ^ Magic Number
  65 |     expect(profilesAfter[0].operationSucceeded).toBe(true);
  66 |   });
  67 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/single-spa/spec/apps/profiler-basic/profiler-routing-start.spec.js,Magic Number,"{'line': 70, 'column': 39, 'index': 2021}","  68 |   it(""fires navigationCanceled profiler events"", async () => {
  69 |     const profilesBefore = getProfilerEventsByKind(""navigationCanceled"");
> 70 |     expect(profilesBefore.length).toBe(0);
