file,type,line,frame
  176 |     // late reference: same reference"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 180, 'column': 4, 'index': 5384}","  178 |
  179 |     // Nothing else changed
> 180 |     expect(registerSpy).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  181 |     expect(unregisterSpy).not.toHaveBeenCalled();
  182 |   });
  183 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 181, 'column': 4, 'index': 5432}","  179 |     // Nothing else changed
  180 |     expect(registerSpy).not.toHaveBeenCalled();
> 181 |     expect(unregisterSpy).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  182 |   });
  183 |
  184 |   it('should not update its registration when a descriptor property does not change on an update', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-draggable-publisher.spec.js,Duplicate Assert,"{'line': 181, 'column': 4, 'index': 5432}","  179 |     // Nothing else changed
  180 |     expect(registerSpy).not.toHaveBeenCalled();
> 181 |     expect(unregisterSpy).not.toHaveBeenCalled();
      |    ^ Duplicate Assert
  182 |   });
  183 |
  184 |   it('should not update its registration when a descriptor property does not change on an update', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/announcer.spec.js,Duplicate Assert,"{'line': 56, 'column': 2, 'index': 1805}","  54 |   unmount();
  55 |   // not unmounted straight away
> 56 |   expect(getElement('5')).toBeTruthy();
     |  ^ Duplicate Assert
  57 |
  58 |   jest.runOnlyPendingTimers();
  59 |   expect(getElement('5')).not.toBeTruthy();"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/announcer.spec.js,Duplicate Assert,"{'line': 59, 'column': 2, 'index': 1877}","  57 |
  58 |   jest.runOnlyPendingTimers();
> 59 |   expect(getElement('5')).not.toBeTruthy();
     |  ^ Duplicate Assert
  60 | });
  61 |
  62 | it('should set the text content of the announcement element', () => {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/announcer.spec.js,Lazy Test,"{'line': 40, 'column': 2, 'index': 1310}","  38 |
  39 |   const el: ?HTMLElement = getElement('5');
> 40 |   invariant(el, 'Cannot find node');
     |  ^ Lazy Test
  41 |
  42 |   expect(el.getAttribute('aria-live')).toBe('assertive');
  43 |   expect(el.getAttribute('aria-atomic')).toBe('true');"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/announcer.spec.js,Lazy Test,"{'line': 67, 'column': 2, 'index': 2142}","  65 |   render(<WithAnnouncer contextId=""6"">{mock}</WithAnnouncer>);
  66 |   const el: ?HTMLElement = getElement('6');
> 67 |   invariant(el, 'Could not find announcer');
     |  ^ Lazy Test
  68 |
  69 |   // act
  70 |   const announce: Announce = getAnnounce(mock);"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 82, 'column': 4, 'index': 2885}","  80 |     // first event
  81 |     scroll(container, { x: 500, y: 1000 });
> 82 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
     |    ^ Duplicate Assert
  83 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
  84 |       preset.home.descriptor.id,
  85 |       { x: 500, y: 1000 },"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 83, 'column': 4, 'index': 2953}","  81 |     scroll(container, { x: 500, y: 1000 });
  82 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
> 83 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
     |    ^ Duplicate Assert
  84 |       preset.home.descriptor.id,
  85 |       { x: 500, y: 1000 },
  86 |     );"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 92, 'column': 4, 'index': 3238}","  90 |     // second event - scroll to same spot
  91 |     scroll(container, { x: 500, y: 1000 });
> 92 |     expect(marshal.updateDroppableScroll).not.toHaveBeenCalled();
     |    ^ Duplicate Assert
  93 |
  94 |     // third event - new value
  95 |     scroll(container, { x: 500, y: 1001 });"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 96, 'column': 4, 'index': 3380}","  94 |     // third event - new value
  95 |     scroll(container, { x: 500, y: 1001 });
> 96 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
     |    ^ Duplicate Assert
  97 |       preset.home.descriptor.id,
  98 |       { x: 500, y: 1001 },
  99 |     );"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 162, 'column': 4, 'index': 5658}","  160 |     requestAnimationFrame.step();
  161 |
> 162 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
      |    ^ Duplicate Assert
  163 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
  164 |       preset.home.descriptor.id,
  165 |       { x: 200, y: 800 },"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 163, 'column': 4, 'index': 5726}","  161 |
  162 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledTimes(1);
> 163 |     expect(marshal.updateDroppableScroll).toHaveBeenCalledWith(
      |    ^ Duplicate Assert
  164 |       preset.home.descriptor.id,
  165 |       { x: 200, y: 800 },
  166 |     );"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/react-beautiful-dnd/test/unit/view/use-droppable-publisher/scroll-watching.spec.js,Duplicate Assert,"{'line': 170, 'column': 4, 'index': 5948}","  168 |     // also checking that no loose frames are stored up
  169 |     requestAnimationFrame.flush();
