file,type,line,method,source
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':33,'endLine':33}","it(""should return true for POJOs false for anything else"", () => {
		expect(utils.isPlainObject({})).toBe(true);
		expect(utils.isPlainObject(Object.create(null))).toBe(true);
		expect(utils.isPlainObject(new Object(null))).toBe(true);

		expect(utils.isPlainObject(new (function () {})())).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(Array.from([]))).toBe(false);
		expect(utils.isPlainObject(new Array(null))).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(null)).toBe(false);
		expect(utils.isPlainObject(function () {})).toBe(false);
		expect(utils.isPlainObject(() => {})).toBe(false);
		expect(utils.isPlainObject(async () => {})).toBe(false);
		expect(utils.isPlainObject(class Dummy {})).toBe(false);
		expect(utils.isPlainObject(1)).toBe(false);
		expect(utils.isPlainObject(""string"")).toBe(false);
		expect(utils.isPlainObject(new String(""""))).toBe(false);
		expect(utils.isPlainObject(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':39,'endLine':39}","it(""should return true for POJOs false for anything else"", () => {
		expect(utils.isPlainObject({})).toBe(true);
		expect(utils.isPlainObject(Object.create(null))).toBe(true);
		expect(utils.isPlainObject(new Object(null))).toBe(true);

		expect(utils.isPlainObject(new (function () {})())).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(Array.from([]))).toBe(false);
		expect(utils.isPlainObject(new Array(null))).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(null)).toBe(false);
		expect(utils.isPlainObject(function () {})).toBe(false);
		expect(utils.isPlainObject(() => {})).toBe(false);
		expect(utils.isPlainObject(async () => {})).toBe(false);
		expect(utils.isPlainObject(class Dummy {})).toBe(false);
		expect(utils.isPlainObject(1)).toBe(false);
		expect(utils.isPlainObject(""string"")).toBe(false);
		expect(utils.isPlainObject(new String(""""))).toBe(false);
		expect(utils.isPlainObject(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':40,'endLine':40}","it(""should return true for POJOs false for anything else"", () => {
		expect(utils.isPlainObject({})).toBe(true);
		expect(utils.isPlainObject(Object.create(null))).toBe(true);
		expect(utils.isPlainObject(new Object(null))).toBe(true);

		expect(utils.isPlainObject(new (function () {})())).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(Array.from([]))).toBe(false);
		expect(utils.isPlainObject(new Array(null))).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(null)).toBe(false);
		expect(utils.isPlainObject(function () {})).toBe(false);
		expect(utils.isPlainObject(() => {})).toBe(false);
		expect(utils.isPlainObject(async () => {})).toBe(false);
		expect(utils.isPlainObject(class Dummy {})).toBe(false);
		expect(utils.isPlainObject(1)).toBe(false);
		expect(utils.isPlainObject(""string"")).toBe(false);
		expect(utils.isPlainObject(new String(""""))).toBe(false);
		expect(utils.isPlainObject(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':41,'endLine':41}","it(""should return true for POJOs false for anything else"", () => {
		expect(utils.isPlainObject({})).toBe(true);
		expect(utils.isPlainObject(Object.create(null))).toBe(true);
		expect(utils.isPlainObject(new Object(null))).toBe(true);

		expect(utils.isPlainObject(new (function () {})())).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(Array.from([]))).toBe(false);
		expect(utils.isPlainObject(new Array(null))).toBe(false);
		expect(utils.isPlainObject([])).toBe(false);
		expect(utils.isPlainObject(null)).toBe(false);
		expect(utils.isPlainObject(function () {})).toBe(false);
		expect(utils.isPlainObject(() => {})).toBe(false);
		expect(utils.isPlainObject(async () => {})).toBe(false);
		expect(utils.isPlainObject(class Dummy {})).toBe(false);
		expect(utils.isPlainObject(1)).toBe(false);
		expect(utils.isPlainObject(""string"")).toBe(false);
		expect(utils.isPlainObject(new String(""""))).toBe(false);
		expect(utils.isPlainObject(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':58,'endLine':58}","it(""should return true for strings and false for anything else"", () => {
		expect(utils.isString(""string"")).toBe(true);
		expect(utils.isString(new String(""""))).toBe(true);

		expect(utils.isString({})).toBe(false);
		expect(utils.isString(Object.create(null))).toBe(false);
		expect(utils.isString(new Object(null))).toBe(false);
		expect(utils.isString(new (function () {})())).toBe(false);
		expect(utils.isString([])).toBe(false);
		expect(utils.isString(Array.from([]))).toBe(false);
		expect(utils.isString(new Array(null))).toBe(false);
		expect(utils.isString(null)).toBe(false);
		expect(utils.isString(function () {})).toBe(false);
		expect(utils.isString(() => {})).toBe(false);
		expect(utils.isString(async () => {})).toBe(false);
		expect(utils.isString(class Dummy {})).toBe(false);
		expect(utils.isString(1)).toBe(false);
		expect(utils.isString(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':63,'endLine':63}","it(""should return true for strings and false for anything else"", () => {
		expect(utils.isString(""string"")).toBe(true);
		expect(utils.isString(new String(""""))).toBe(true);

		expect(utils.isString({})).toBe(false);
		expect(utils.isString(Object.create(null))).toBe(false);
		expect(utils.isString(new Object(null))).toBe(false);
		expect(utils.isString(new (function () {})())).toBe(false);
		expect(utils.isString([])).toBe(false);
		expect(utils.isString(Array.from([]))).toBe(false);
		expect(utils.isString(new Array(null))).toBe(false);
		expect(utils.isString(null)).toBe(false);
		expect(utils.isString(function () {})).toBe(false);
		expect(utils.isString(() => {})).toBe(false);
		expect(utils.isString(async () => {})).toBe(false);
		expect(utils.isString(class Dummy {})).toBe(false);
		expect(utils.isString(1)).toBe(false);
		expect(utils.isString(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':64,'endLine':64}","it(""should return true for strings and false for anything else"", () => {
		expect(utils.isString(""string"")).toBe(true);
		expect(utils.isString(new String(""""))).toBe(true);

		expect(utils.isString({})).toBe(false);
		expect(utils.isString(Object.create(null))).toBe(false);
		expect(utils.isString(new Object(null))).toBe(false);
		expect(utils.isString(new (function () {})())).toBe(false);
		expect(utils.isString([])).toBe(false);
		expect(utils.isString(Array.from([]))).toBe(false);
		expect(utils.isString(new Array(null))).toBe(false);
		expect(utils.isString(null)).toBe(false);
		expect(utils.isString(function () {})).toBe(false);
		expect(utils.isString(() => {})).toBe(false);
		expect(utils.isString(async () => {})).toBe(false);
		expect(utils.isString(class Dummy {})).toBe(false);
		expect(utils.isString(1)).toBe(false);
		expect(utils.isString(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':65,'endLine':65}","it(""should return true for strings and false for anything else"", () => {
		expect(utils.isString(""string"")).toBe(true);
		expect(utils.isString(new String(""""))).toBe(true);

		expect(utils.isString({})).toBe(false);
		expect(utils.isString(Object.create(null))).toBe(false);
		expect(utils.isString(new Object(null))).toBe(false);
		expect(utils.isString(new (function () {})())).toBe(false);
		expect(utils.isString([])).toBe(false);
		expect(utils.isString(Array.from([]))).toBe(false);
		expect(utils.isString(new Array(null))).toBe(false);
		expect(utils.isString(null)).toBe(false);
		expect(utils.isString(function () {})).toBe(false);
		expect(utils.isString(() => {})).toBe(false);
		expect(utils.isString(async () => {})).toBe(false);
		expect(utils.isString(class Dummy {})).toBe(false);
		expect(utils.isString(1)).toBe(false);
		expect(utils.isString(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':74,'endLine':74}","it(""should return true for function types"", () => {
		expect(utils.isFunction(function () {})).toBe(true);
		expect(utils.isFunction(() => {})).toBe(true);
		expect(utils.isFunction(async () => {})).toBe(true);
		expect(utils.isFunction(class Dummy {})).toBe(true);

		expect(utils.isFunction({})).toBe(false);
		expect(utils.isFunction([])).toBe(false);
		expect(utils.isFunction(null)).toBe(false);
		expect(utils.isFunction(1)).toBe(false);
		expect(utils.isFunction(""string"")).toBe(false);
		expect(utils.isFunction(NaN)).toBe(false);
	})",snuts
/test/unit/utils.spec.js,NonFunctionalStatement,"{'startLine':75,'endLine':75}","it(""should return true for function types"", () => {
		expect(utils.isFunction(function () {})).toBe(true);
		expect(utils.isFunction(() => {})).toBe(true);
		expect(utils.isFunction(async () => {})).toBe(true);
		expect(utils.isFunction(class Dummy {})).toBe(true);

		expect(utils.isFunction({})).toBe(false);
		expect(utils.isFunction([])).toBe(false);
		expect(utils.isFunction(null)).toBe(false);
		expect(utils.isFunction(1)).toBe(false);
		expect(utils.isFunction(""string"")).toBe(false);
		expect(utils.isFunction(NaN)).toBe(false);
	})",snuts
