file,type,line,method,source
/test/locale.test.js,AnonymousTest,"{'startLine':87,'endLine':92}","it('Clone', () => {
    expect(esDayjs.clone().format(format))
      .toBe('sábado 28, abril')
    expect(dayjs(esDayjs).format(format))
      .toBe('sábado 28, abril')
  })",snuts
/test/locale.test.js,AnonymousTest,"{'startLine':94,'endLine':99}","it('StartOf EndOf', () => {
    expect(esDayjs.startOf('year').format(format))
      .toBe('lunes 1, enero')
    expect(esDayjs.endOf('day').format(format))
      .toBe('sábado 28, abril')
  })",snuts
/test/locale.test.js,AnonymousTest,"{'startLine':101,'endLine':104}","it('Set', () => {
    expect(esDayjs.set('year', 2017).format(format))
      .toBe('viernes 28, abril')
  })",snuts
/test/locale.test.js,AnonymousTest,"{'startLine':106,'endLine':113}","it('Add', () => {
    expect(esDayjs.add(1, 'year').format(format))
      .toBe('domingo 28, abril')
    expect(esDayjs.add(1, 'month').format(format))
      .toBe('lunes 28, mayo')
    expect(esDayjs.add(1, 'minute').format(format))
      .toBe('sábado 28, abril')
  })",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':13,'endLine':18}","it('Year', () => {
  expect(dayjs().get('year')).toBe(moment().get('year'))
  expect(dayjs().year()).toBe(moment().year())
  expect(dayjs().year(0).valueOf()).toBe(moment().year(0).valueOf())
  expect(dayjs().year(2000).valueOf()).toBe(moment().year(2000).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':20,'endLine':25}","it('Month', () => {
  expect(dayjs().get('month')).toBe(moment().get('month'))
  expect(dayjs().month()).toBe(moment().month())
  expect(dayjs().month(0).valueOf()).toBe(moment().month(0).valueOf())
  expect(dayjs().month(1).valueOf()).toBe(moment().month(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':34,'endLine':39}","it('Date', () => {
  expect(dayjs().get('date')).toBe(moment().get('date'))
  expect(dayjs().date()).toBe(moment().date())
  expect(dayjs().date(0).valueOf()).toBe(moment().date(0).valueOf())
  expect(dayjs().date(1).valueOf()).toBe(moment().date(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':41,'endLine':46}","it('Hour', () => {
  expect(dayjs().get('hour')).toBe(moment().get('hour'))
  expect(dayjs().hour()).toBe(moment().hour())
  expect(dayjs().hour(0).valueOf()).toBe(moment().hour(0).valueOf())
  expect(dayjs().hour(1).valueOf()).toBe(moment().hour(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':48,'endLine':53}","it('Minute', () => {
  expect(dayjs().get('minute')).toBe(moment().get('minute'))
  expect(dayjs().minute()).toBe(moment().minute())
  expect(dayjs().minute(0).valueOf()).toBe(moment().minute(0).valueOf())
  expect(dayjs().minute(1).valueOf()).toBe(moment().minute(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':55,'endLine':60}","it('Second', () => {
  expect(dayjs().get('second')).toBe(moment().get('second'))
  expect(dayjs().second()).toBe(moment().second())
  expect(dayjs().second(0).valueOf()).toBe(moment().second(0).valueOf())
  expect(dayjs().second(1).valueOf()).toBe(moment().second(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':62,'endLine':67}","it('Millisecond', () => {
  expect(dayjs().get('millisecond')).toBe(moment().get('millisecond'))
  expect(dayjs().millisecond()).toBe(moment().millisecond())
  expect(dayjs().millisecond(0).valueOf()).toBe(moment().millisecond(0).valueOf())
  expect(dayjs().millisecond(1).valueOf()).toBe(moment().millisecond(1).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':69,'endLine':71}","it('Set Day', () => {
  expect(dayjs().set('date', 30).valueOf()).toBe(moment().set('date', 30).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':77,'endLine':79}","it('Set Month', () => {
  expect(dayjs().set('month', 11).valueOf()).toBe(moment().set('month', 11).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':81,'endLine':83}","it('Set Year', () => {
  expect(dayjs().set('year', 2008).valueOf()).toBe(moment().set('year', 2008).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':85,'endLine':87}","it('Set Hour', () => {
  expect(dayjs().set('hour', 6).valueOf()).toBe(moment().set('hour', 6).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':89,'endLine':91}","it('Set Minute', () => {
  expect(dayjs().set('minute', 59).valueOf()).toBe(moment().set('minute', 59).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':93,'endLine':95}","it('Set Second', () => {
  expect(dayjs().set('second', 59).valueOf()).toBe(moment().set('second', 59).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':97,'endLine':99}","it('Set Millisecond', () => {
  expect(dayjs().set('millisecond', 999).valueOf()).toBe(moment().set('millisecond', 999).valueOf())
})",snuts
/test/get-set.test.js,AnonymousTest,"{'startLine':122,'endLine':129}","it('Immutable Set', () => {
  const dayjsA = dayjs()
  const dayjsB = dayjsA.set('year', 2011)
  const momentA = moment()
  const momentB = momentA.set('year', 2011)
  expect(dayjsA.valueOf()).not.toBe(dayjsB.valueOf())
  expect(momentA.valueOf()).toBe(momentB.valueOf())
})",snuts
/test/display.test.js,AnonymousTest,"{'startLine':212,'endLine':217}","it('MonthDiff', () => {
    expect(dayjs('2018-08-08').diff(dayjs('2018-08-08'), 'month')).toEqual(0)
    expect(dayjs('2018-09-08').diff(dayjs('2018-08-08'), 'month')).toEqual(1)
    expect(dayjs('2018-08-08').diff(dayjs('2018-09-08'), 'month')).toEqual(-1)
    expect(dayjs('2018-01-01').diff(dayjs('2018-01-01'), 'month')).toEqual(0)
  })",snuts
/test/display.test.js,AnonymousTest,"{'startLine':237,'endLine':240}","it('Utc Offset', () => {
  expect(dayjs('2013-01-01T00:00:00.000').utcOffset()).toBe(moment('2013-01-01T00:00:00.000').utcOffset())
  expect(dayjs('2013-01-01T05:00:00.000').utcOffset()).toBe(moment('2013-01-01T05:00:00.000').utcOffset())
})",snuts
